,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean,1.0000292777776028,2.5554179172051127e-05,0.9999822896110363,1.000077484509908,8.359739424522257e-07,5.913152984784494e-07,973.4251822551839,264.64415556052245,1.007607802037335
m_star,1.2996096892841387,0.19625910831053958,0.9503366872359127,1.6780657210299883,0.006652622441080615,0.005102704521870879,864.2396353940129,279.41012707620064,1.004305636587602
r_star,1.6995610079205457,0.06541728190033455,1.5800532733048858,1.8269242227794715,0.0009663282030164276,0.0006847237273474536,4587.339320579495,3528.9800757293087,1.0043434386181542
t0[0],2458956.2380199097,0.00021711628843168538,2458956.237612615,2458956.2384221493,9.670875776466144e-05,7.278421673341304e-05,5023.9972385871515,3624.246779690183,1.0009685664419299
period[0],5.633423277700496,4.317969110787427e-05,5.633341151949371,5.633497572211861,1.2722288725196731e-06,8.998891539273245e-07,1152.1653635991047,510.320548640338,1.0036971690315595
transit_times_0[0],2458956.2380269873,0.000447630575244021,2458956.237147316,2458956.23883833,0.00019939093222786177,0.00015009085487469663,771.047228286247,1186.2158537778087,1.0122850794510898
transit_times_0[1],2458961.8714297665,0.00046320793975752753,2458961.8706076765,2458961.872298788,0.00020632659439122854,0.00015528424752152785,772.2540936587664,1574.5932903735693,1.012485024765175
transit_times_0[2],2458967.5051449426,0.00048136056462019496,2458967.504259066,2458967.5060519367,1.816353995660496e-05,1.2848899796839832e-05,486.0372029418229,241.128998613572,1.014185616103533
transit_times_0[3],2458973.137935802,0.0005056241243058046,2458973.1368834926,2458973.1387948412,0.0002251885012650773,0.00016951459058332915,478.23308261559447,148.74705730534362,1.0130439499449182
transit_times_0[4],2458978.7713953485,0.00047128957145677053,2458978.7704212917,2458978.772205081,2.045059591565751e-05,1.4468704202375844e-05,406.652774181559,176.10646105800004,1.0159569685509808
transit_times_0[5],2458984.4048553836,0.00046040131119516673,2458984.4039556175,2458984.4056591266,0.00020507599095246544,0.00015434298066954117,446.78871484479515,270.5479816623105,1.016567623339048
transit_times_0[6],2458990.0390493805,0.00045924869660723597,2458990.0382484607,2458990.039917589,0.00020455236364927396,0.0001539647663026931,545.3332919854072,944.9349823163492,1.0096547333224115
transit_times_0[7],2458995.6712325253,0.0006212106534097181,2458995.6700333105,2458995.6723818462,0.00027667511591169283,0.00020822641451011094,1535.2519316453997,2155.29842943025,1.0096922664540007
transit_times_0[8],2459001.305473685,0.00046114437182003914,2459001.304610379,2459001.3063231152,0.0002054107521554236,0.00015459531011495744,657.265710417935,1224.2408846593971,1.0106945847804414
transit_times_0[9],2459006.939247398,0.0004536223953305516,2459006.9384143925,2459006.9401115417,0.00020204640561465075,0.00015206185276122374,553.6693311301605,1019.6185044950932,1.0114079782078749
ttvs_0[0],7.073185173360389e-06,0.0004888470038485748,-0.0009286018052176489,0.0009316799068370078,1.631201394600073e-05,1.1538083585570894e-05,901.2525726661112,1443.168924257944,1.0069872124877532
ttvs_0[1],-1.3414487964054423e-05,0.0005102077294400845,-0.0009224388606600001,0.0010094014939943854,1.716951223302016e-05,1.2144690854585032e-05,880.4790262308105,1606.2306984887396,1.0119310532095878
