# Time, Flux
2.458973117697631009e+06,9.949944610504510845e-01
2.458973138531049248e+06,9.948536674767787247e-01
2.458973159364467952e+06,9.950805541639137219e-01
2.458973180197886657e+06,9.949927799677465989e-01
2.458973201031304896e+06,9.956640755626674499e-01
2.458973221864723135e+06,9.986565437536548684e-01
2.458973242698141374e+06,1.000026739420577959e+00
2.458973263531559613e+06,1.000216272665830353e+00
2.458978638549347874e+06,1.000230803333499230e+00
2.458978659382730722e+06,1.000029804799974054e+00
2.458978680216113105e+06,9.996020592969583340e-01
2.458978701049495954e+06,9.956900670692385713e-01
2.458978721882877871e+06,9.952186323298460868e-01
2.458978742716259789e+06,9.948099875833879002e-01
2.458978763549641706e+06,9.946995806462849421e-01
2.458978784383023623e+06,9.948489282459186400e-01
2.458978805216405075e+06,9.950972346327623397e-01
2.458978826049786527e+06,9.953419682747443042e-01
2.458978846883167513e+06,9.963675874580001368e-01
2.458978867716548964e+06,9.998972707943271088e-01
2.458978888549929485e+06,9.999447030488365362e-01
2.458984284375609364e+06,1.000087358626636780e+00
2.458984305208787322e+06,9.997923527943942679e-01
2.458984326041965280e+06,9.968529958692220472e-01
2.458984346875143703e+06,9.950798154638601511e-01
2.458984367708322592e+06,9.946994352058332600e-01
2.458984388541502412e+06,9.948172668748394010e-01
2.458984409374682233e+06,9.947603676615516255e-01
2.458984430207862053e+06,9.944941753244131988e-01
2.458984451041042805e+06,9.945292308626169087e-01
2.458984471874223091e+06,9.950296505882749720e-01
2.458984492707404308e+06,9.990253803543811539e-01
2.458984513540585991e+06,9.997174873107420590e-01
2.458984534373767674e+06,9.992673770399117528e-01
2.458989909335716162e+06,9.999687074700991385e-01
2.458989930168889463e+06,1.000109494052243697e+00
2.458989951002062764e+06,9.990937087292508512e-01
2.458989971835236065e+06,9.956316820354711439e-01
2.458989992668408900e+06,9.949180335392739938e-01
2.458990013501581270e+06,9.948237387158391787e-01
2.458990034334754106e+06,9.947111452130148468e-01
2.458990055167926475e+06,9.948875754768370383e-01
2.458990076001098845e+06,9.946809851746721831e-01
2.458990096834271215e+06,9.951275444775629087e-01
2.458990117667443119e+06,9.972739736094896612e-01
2.458990138500615023e+06,9.999531506123768843e-01
2.458990159333786462e+06,1.000281751978745914e+00
2.458995555119993631e+06,9.992690204145677768e-01
2.458995575953103602e+06,9.992131170623355096e-01
2.458995596786212176e+06,9.961087209826102740e-01
2.458995617619318422e+06,9.950067626947444177e-01
2.459001180022908375e+06,9.997628675776032425e-01
2.459001200855878182e+06,1.000101670749587557e+00
