# Time, Flux
2.459422050919582602e+06,9.994272821401889439e-01
2.459422052308475599e+06,1.000096025971112912e+00
2.459422053697368130e+06,1.000008061439550122e+00
2.459422055086260661e+06,9.999459409347808414e-01
2.459422056475153659e+06,1.000021813307018226e+00
2.459422057864046190e+06,9.993432297778196416e-01
2.459422059252939187e+06,9.982350189408264463e-01
2.459422060641831253e+06,9.964409929891556716e-01
2.459422062030724250e+06,9.945904184100518020e-01
2.459422063419617247e+06,9.922795711978042998e-01
2.459422064808509313e+06,9.901192832242153852e-01
2.459422066197402310e+06,9.881764170173195083e-01
2.459422067586294841e+06,9.864421998340766606e-01
2.459422068975187838e+06,9.833166730249295329e-01
2.459422070364080369e+06,9.815799070041817398e-01
2.459422071752972901e+06,9.804512461918589716e-01
2.459422073141865898e+06,9.785192273631814208e-01
2.459422074530757964e+06,9.777813685431722135e-01
2.459422075919650961e+06,9.773539344211377156e-01
2.459422077308543492e+06,9.770763482342720296e-01
2.459422078697436489e+06,9.763406826000229355e-01
2.459422080086329021e+06,9.760908372492566043e-01
2.459422081475221552e+06,9.762359431611606908e-01
2.459422082864114549e+06,9.759082693535602315e-01
2.459422084253007080e+06,9.752581379639506665e-01
2.459422085641899612e+06,9.749280338694269465e-01
2.459422087030792143e+06,9.747971540273173696e-01
2.459422088419685140e+06,9.748505610643376507e-01
2.459422089808577206e+06,9.752721269325819176e-01
2.459422091197470203e+06,9.755285518406281442e-01
2.459422092586362734e+06,9.753430201803913180e-01
2.459422093975255731e+06,9.758856261924706565e-01
2.459422095364148263e+06,9.756798223827766181e-01
2.459422096753040794e+06,9.761666503462033129e-01
2.459422098141933791e+06,9.754093492308082425e-01
2.459422099530825857e+06,9.761030479591635833e-01
2.459422100919718854e+06,9.757953499245662909e-01
2.459422102308611386e+06,9.758808841692058200e-01
2.459422103697504383e+06,9.753196064405211807e-01
2.459422105086396448e+06,9.757076224941667597e-01
2.459422106475289445e+06,9.760054215551986490e-01
2.459422107864181977e+06,9.756394559097346653e-01
2.459422109253074508e+06,9.766660446712817079e-01
2.459422110641967040e+06,9.765745236222703740e-01
2.459422112030860037e+06,9.768454709765651556e-01
2.459422113419752568e+06,9.781280104438320189e-01
2.459422114808645099e+06,9.782721086757923956e-01
2.459422116197537631e+06,9.794085345512113516e-01
2.459422117586430628e+06,9.815867236626250047e-01
2.459422118975322694e+06,9.834054674105636717e-01
2.459422120364215691e+06,9.855882207193696898e-01
2.459422121753108222e+06,9.879601214811519760e-01
2.459422123142001219e+06,9.896900708434566152e-01
2.459422124530893285e+06,9.916427767486269973e-01
2.459422125919786282e+06,9.942718137219452856e-01
2.459422127308678813e+06,9.960602085209889767e-01
2.459422128697571810e+06,9.973981703851637626e-01
2.459422130086463876e+06,9.994642699216547133e-01
2.459422131475356873e+06,9.999655017807482782e-01
2.459422132864249405e+06,9.998984021515507914e-01
2.459422134253141936e+06,1.000104087410663256e+00
2.459422135642034467e+06,9.999843513232260506e-01
2.459422137030927464e+06,1.000096855825184372e+00
2.459422138419819996e+06,9.997694191187471713e-01
2.459422139808712061e+06,1.000022643161089686e+00
2.459422141197605059e+06,9.999505644074639932e-01
2.459422142586497590e+06,9.996920055889486623e-01
2.459422143975390121e+06,1.000306333758691490e+00
2.459422145364282653e+06,9.997876768648159551e-01
2.459422146753175650e+06,1.000196793358911762e+00
2.459422148142068181e+06,1.000246940100369297e+00
2.459422149530960713e+06,1.000048131387782036e+00
2.459422150919853244e+06,9.997836458554133499e-01
2.459422152308745775e+06,1.000009721117729455e+00
2.459422153697638307e+06,9.994051118414634116e-01
2.459422155086530838e+06,9.999320694617613858e-01
2.459422156475423835e+06,1.000311788731955254e+00
2.459422157864316367e+06,1.000348781227745398e+00
